,app_name,Apple Genre,Apple Rating,Apple Reviews,Google Genre,Google Rating,Google Reviews
0,B&H Kids AR,Book,3.25,92,BOOKS_AND_REFERENCE,3.9,286
1,Ebook Reader,Book,3.7375,480,BOOKS_AND_REFERENCE,4.1,85842
2,M+,Book,4.82012,1123,NEWS_AND_MAGAZINES,4.9,198
3,M+,Lifestyle,0.0,0,NEWS_AND_MAGAZINES,4.9,198
4,M+,Productivity,0.0,0,NEWS_AND_MAGAZINES,4.9,198
5,Mad Libs,Entertainment,4.1828,2697,FAMILY,4.0,8126
6,A+ Mobile,Finance,4.64564,3598,FINANCE,3.9,730
7,K PLUS,Finance,2.625,136,FINANCE,4.4,124424
8,K PLUS,Finance,2.625,136,FINANCE,4.4,124324
9,BA Pro Financial Calculator,Finance,0.0,0,FINANCE,2.4,36
10,Learn Artificial Intelligence,Education,4.33333,6,FAMILY,4.6,27
11,M-Files,Business,4.0,4,BUSINESS,4.4,236
12,Facebook Ads Manager,Business,3.96938,5094,BUSINESS,4.1,19023
13,Facebook Ads Manager,Business,3.96938,5094,BUSINESS,4.1,19051
14,Facebook Face to Face Events,Business,4.0,4,BUSINESS,4.4,4518
15,DC Public Library,Book,4.3,10,BOOKS_AND_REFERENCE,4.2,20
16,CA Auth ID,Business,1.0,2,TOOLS,3.8,39
17,CA DMV,Business,3.05215,326,TOOLS,4.2,5463
18,CA Mobile OTP,Business,3.0,8,TOOLS,3.3,688
19,Kids A-Z,Education,3.68158,5185,FAMILY,4.2,26426
20,EGW Writings,Reference,4.19663,178,BOOKS_AND_REFERENCE,4.7,24278
21,EGW Writings,Reference,0.0,0,BOOKS_AND_REFERENCE,4.7,24278
22,EGW Writings 2,Reference,4.64112,1644,BOOKS_AND_REFERENCE,4.7,6547
23,CA Service Management,Business,2.0,1,BUSINESS,3.4,91
24,Visuelles Wörterbuch Audio-App,Education,2.8,10,FAMILY,3.1,192
25,AE Bulletins,Reference,4.76389,216,BOOKS_AND_REFERENCE,4.5,14
26,Q MINDshare Mobile,Business,4.0,4,BUSINESS,3.4,24
27,Q-See Plus,Utilities,1.7,70,VIDEO_PLAYERS,2.2,32
28,Q-See QC View,Utilities,1.82712,295,TOOLS,3.1,657
29,Q-See QT View,Utilities,2.98156,3580,TOOLS,3.6,7357
30,R+F PULSE,Business,4.0,49,BUSINESS,3.4,58
31,WiFi FPV,Book,2.75,8,FAMILY,3.8,316
32,AJ Academy: Amazing Animals,Education,4.35625,160,FAMILY,4.5,1564
33,Marvel Unlimited,Book,4.7961,48282,COMICS,3.7,22551
34,English Audio Books - Librivox,Book,4.41026,39,FAMILY,4.0,10773
35,Florida - Pocket Brainbook,Reference,3.69231,13,BOOKS_AND_REFERENCE,4.6,7
36,Nighty Night Circus,Education,4.13558,59,FAMILY,4.3,382
37,Chapters: Interactive Stories,Games,4.43355,95055,GAME,4.5,73539
38,Al Quran (Tafsir & by Word),Book,4.82265,2825,BOOKS_AND_REFERENCE,4.8,57400
39,Al Quran Indonesia,Reference,4.87374,198,BOOKS_AND_REFERENCE,4.8,445756
40,Google Play Books,Book,4.52886,9078,BOOKS_AND_REFERENCE,3.9,1433233
41,English Hindi Dictionary,Education,5.0,1,BOOKS_AND_REFERENCE,4.4,384368
42,NOOK Audiobooks,Book,2.73333,45,BOOKS_AND_REFERENCE,3.5,2539
43,U.S. Bank,Finance,4.78179,1182224,FINANCE,4.1,70782
44,W Box VMS,Business,4.0,14,VIDEO_PLAYERS,1.9,105
45,W Box VMS HD,Business,1.0,1,VIDEO_PLAYERS,2.5,24
46,"Alizay, pirate girl",Book,4.66667,3,FAMILY,4.5,197
47,Wowkwis aq Ka'qaquj,Education,1.0,1,FAMILY,5.0,1
48,Bible,Reference,4.90797,7181127,BOOKS_AND_REFERENCE,4.7,2440695
49,Bible,Reference,0.0,0,BOOKS_AND_REFERENCE,4.7,2440695
50,Safe Ag Systems™,Business,0.0,0,BUSINESS,4.7,3
51,Bible KJV,Book,4.83979,8133,BOOKS_AND_REFERENCE,4.5,42729
52,ODTMobile,Utilities,2.2,5,BUSINESS,3.4,15
53,Amazon Kindle,Book,4.84643,3233670,BOOKS_AND_REFERENCE,4.2,814080
54,Amazon Kindle,Book,4.84643,3233670,BOOKS_AND_REFERENCE,4.2,814151
55,Bank of America Mobile Banking,Finance,4.82062,3227999,FINANCE,4.4,341090
56,CJ Fallon eBook Reader,Education,0.0,0,FAMILY,1.9,76
57,DK 15 Minute Language Course,Education,2.6,55,FAMILY,2.8,21
58,Mail1Click - Secure Mail,Productivity,5.0,1,COMMUNICATION,4.1,255
59,Banorte Movil,Finance,4.19444,1728,FINANCE,4.1,111632
60,"KAYAK Flights, Hotels & Cars",Travel,4.80548,293819,TRAVEL_AND_LOCAL,4.5,216388
61,Navy Federal Credit Union,Finance,4.83981,154339,FINANCE,4.4,43313
62,EB-Link,Business,5.0,6,BUSINESS,4.8,6
63,Ebenezer AH,Business,3.66667,3,MEDICAL,4.0,4
64,Zenefits,Business,4.28326,233,BUSINESS,4.2,296
65,Barcode Scanner,Utilities,0.0,0,LIBRARIES_AND_DEMO,4.2,3945
66,DB Stay Connected,Business,5.0,3,BUSINESS,4.6,17
67,Pediatric Nursing,Education,0.0,0,MEDICAL,4.9,14
68,CL REPL,Education,5.0,9,TOOLS,5.0,47
69,Branch,Developer Tools,0.0,0,FINANCE,4.6,69973
70,FB Live,Business,5.0,1,BUSINESS,3.7,27
71,Speed Reading,Lifestyle,2.33333,6,EDUCATION,4.6,10611
72,Speed Reading,Education,0.0,0,EDUCATION,4.6,10611
73,Mirror,Developer Tools,0.0,0,LIFESTYLE,4.1,367505
74,Nedbank Money,Finance,4.43335,1853,FINANCE,4.2,6076
75,HCP Anywhere,Productivity,4.2,5,BUSINESS,4.7,114
76,Quotes,Business,0.0,0,LIBRARIES_AND_DEMO,4.4,58
77,B y H Niños ES,Education,2.04999,20,BOOKS_AND_REFERENCE,4.6,53
78,FD e-paper,News,3.66667,3,NEWS_AND_MAGAZINES,3.1,183
79,F-Sim Space Shuttle,Games,4.59194,794,FAMILY,4.4,5427
80,ReadyOp DT,Utilities,3.0,2,COMMUNICATION,4.6,8
81,JOBS.bg,Business,4.81159,69,BUSINESS,4.4,1630
82,I am Dentist - Save my Teeth,Games,4.08302,265,FAMILY,4.3,7443
83,NEMA ei,Business,5.0,8,BUSINESS,5.0,4
84,My Little Pony: Story Creator,Education,3.98778,491,FAMILY,4.2,11002
85,AAFP,Medical,4.43605,516,MEDICAL,3.8,63
86,ZOOM Cloud Meetings,Business,4.57988,2040151,BUSINESS,4.4,31614
87,IKO,Finance,4.81654,1657,FINANCE,4.7,167168
